vision,stat_type,lvl_1_20,lvl_20_40,lvl_40_50,lvl_50_60,lvl_60_70,lvl_70_80,lvl_80_90,lvl_90_90
Anemo,atk,27,94,157,203,243,284,325,349
Anemo,def,63,217,363,468,562,656,750,807
Anemo,hp,1144,3948,6605,8528,10230,11940,13662,14695
Cryo,atk,27,92,154,199,238,278,318,342
Cryo,def,72,248,415,535,642,749,857,922
Cryo,hp,1058,3652,6109,7888,9462,11044,21080,13592
Dendro,atk,24,84,140,181,218,254,291,313
Dendro,def,62,210,351,453,544,635,726,781
Dendro,hp,1039,3586,5999,7746,9291,10845,12409,13348
Electro,atk,26,91,153,197,236,276,316,340
Electro,def,66,230,386,498,598,698,798,859
Electro,hp,1094,3628,6015,7694,9178,10662,12182,13103
Geo,atk,20,68,113,146,175,204,233,251
Geo,def,75,258,431,557,668,779,892,959
Geo,hp,1144,3948,6605,8528,10230,11940,13662,14695
Hydro,atk,24,81,135,175,210,245,280,301
Hydro,def,64,219,366,473,567,662,757,815
Hydro,hp,1191,4112,6880,8883,10655,12437,14231,15307
Pyro,atk,26,90,151,194,233,272,311,335
Pyro,def,68,235,394,508,610,712,815,876
Pyro,hp,1220,4211,7045,9096,10911,12736,14572,15674
